id;descricao;descricao detalhada;unidade de medida;;;;;;
1;359568 - 1,10-FENANTROLINA (ORTO-FENANTROLINA);1,10-FENANTROLINA ORTO (ORTO-FENANTROLINA),ASPECTO FÍSICO PÓ ESBRANQUIÇADO, CRISTALINO ODOR FRACO, PESO MOLECULAR 198,22,FÓRMULAQUÍMICA12H8N2.H20 (MONOHIDRATADA) GRAU DE PUREZA MÍNIMA DE 99%, CARACTERÍSTICA ADICIONAL REAGENTE P.A.;G;;;;;;;;;;;;;
2;419917 - DINITROBENZENO;1-CLORO-2,4-DINITROBENZENO 99+%, ASPECTO FÍSICO PÓ CRISTALINO AMARELADO, FÓRMULA QUÍMICA CLC6H3(NO2)2-(1-CLORO-2,4-DINITROBENZENO), PESO MOLECULAR 202,55, GRAU DE PUREZA MINIMA DE 98%, NÚMERO DE REFERÊNCIA QUÍMICA CAS 97-00-7.;G;G;;;;;;;;;;;;
3;376764 - NAFTOL;1-NAFTOL OU ALFA-NAFTOL, ASPECTO FÍSICO PÓ CRISTALINO OU ESCAMAS BRANCAS A AMARELADAS, COMPOSIÇÃO QUÍMICA C10H8O, PESO MOLECULAR 144,17, GRAU DE PUREZA MÍNIMA DE 99%, CARACTERÍSTICA ADICIONAL REAGENTE P.A., NÚMERO DE REFERÊNCIA QUÍMICA CAS 90-15-3.;G; ASPECTO FÍSICO PÓ CRISTALINO AMARELADO; FÓRMULA QUÍMICA CLC6H3(NO2)2-(1-CLORO-2;4-DINITROBENZENO); PESO MOLECULAR 202;55; GRAU DE PUREZA MINIMA DE 98%; NÚMERO DE REFERÊNCIA QUÍMICA CAS 97-00-7.;G;;;;;
4;353218 - 2,4-DINITROFENILHIDRAZINA (2,4-DNPH);2,4-DINITROFENILHIDRAZINA (2,4-DNPH), ASPECTO FÍSICO PÓ CRISTALINO LARANJA OU VERMELHO, FÓRMULA QUÍMICA C6H6N4O4, PESO MOLECULAR 198,14, TEOR DE PUREZA MÍNIMA DE 99%, CARACTERÍSTICA ADICIONAL REAGENTE P/ HPLC, NÚMERO DE REFERÊNCIA QUÍMICA CAS 119-26-6.;FRASCO DE 100G; COMPOSIÇÃO QUÍMICA C10H8O; PESO MOLECULAR 144;17; GRAU DE PUREZA MÍNIMA DE 99%; CARACTERÍSTICA ADICIONAL REAGENTE P.A.; NÚMERO DE REFERÊNCIA QUÍMICA CAS 90-15-3.;G;;;;;;
5;353061 - 4-DIMETILAMINOBENZALDEÍDO;4-DIMETILAMINOBENZALDEÍDO, ASPECTO FÍSICO CRISTAL LEVEMENTE AMARELADO, FÓRMULA QUÍMICA C9H11NO, PESO MOLECULAR 149,19, TEOR DE PUREZA MÍNIMA DE 99%, CARACTERÍSTICA ADICIONAL REAGENTE P.A., NÚMERO DE REFERÊNCIA QUÍMICA CAS 100-10-7.;G;2;4-DINITROFENILHIDRAZINA (2;4-DNPH); ASPECTO FÍSICO PÓ CRISTALINO LARANJA OU VERMELHO; FÓRMULA QUÍMICA C6H6N4O4; PESO MOLECULAR 198;14; TEOR DE PUREZA MÍNIMA DE 99%; CARACTERÍSTICA ADICIONAL REAGENTE P/ HPLC; NÚMERO DE REFERÊNCIA QUÍMICA CAS 119-26-6.;FRASCO DE 100G;;
6;414485 - ACETALDEÍDO;ACETALDEÍDO CAS – [75-07-0] SINONÍMIA – ETANAL. FÓRMULA E MASSA MOLECULAR – C2H4O – 44,05 DESCRIÇÃO – LÍQUIDO INCOLOR E LÍMPIDO. CARACTERÍSTICAS FÍSICAS – DENSIDADE (20 °C): CERCA DE 0,788. ÍNDICE DE REFRAÇÃO (20 °C): CERCA DE 1,332. TEMPERATURA DE EBULIÇÃO: CERCA DE 21 °C. REAGENTE PA.;L; FÓRMULA QUÍMICA C9H11NO; PESO MOLECULAR 149;19; TEOR DE PUREZA MÍNIMA DE 99%; CARACTERÍSTICA ADICIONAL REAGENTE P.A.; NÚMERO DE REFERÊNCIA QUÍMICA CAS 100-10-7.;G;;;;;;
7;352828 - ACETATO DE AMÔNIO;ACETATO DE AMÔNIO, COMPOSIÇÃO BÁSICA NH4C2H3O2, ASPECTO FÍSICO CRISTAL BRANCO, PESO MOLECULAR 77,08, PUREZA MÍNIMA PUREZA MÍNIMA DE 98%, CARACTERÍSTICAS ADICIONAIS REAGENTE P.A., NÚMERO DE REFERÊNCIA QUÍMICA CAS 631-61-8 .;G;788. ÍNDICE DE REFRAÇÃO (20 °C): CERCA DE 1;332. TEMPERATURA DE EBULIÇÃO: CERCA DE 21 °C. REAGENTE PA.;L;;;;;;;;;;
8;353821 - ACETATO DE CÁLCIO;ACETATO DE CÁLCIO, COMPOSIÇÃO QUÍMICA C4H6CAO4.H2O, ASPECTO FÍSICO PÓ BRANCO CRISTALINO, PESO MOLECULAR 176,19, TEOR DE PUREZA MÍNIMA DE 99%, CARACTERÍSTICA ADICIONAL REAGENTE P.A., NÚMERO DE REFERÊNCIA QUÍMICA* CAS 5743-26-0.;G; ASPECTO FÍSICO CRISTAL BRANCO; PESO MOLECULAR 77;8; PUREZA MÍNIMA PUREZA MÍNIMA DE 98%; CARACTERÍSTICAS ADICIONAIS REAGENTE P.A.; NÚMERO DE REFERÊNCIA QUÍMICA CAS 631-61-8 .;G;;;;;;
9;347136 - ACETATO DE CHUMBO;ACETATO DE CHUMBO, ASPECTO FÍSICO CRISTAL BRANCO, FÓRMULA QUÍMICA PB(CH3COO)2.3H2O, PESO MOLECULAR 379,33, GRAU DE PUREZA PUREZA MÍNIMA DE 99%, CARACTERÍSTICA ADICIONAL REAGENTE P.A./ACS, NÚMERO DE REFERÊNCIA QUÍMICA CAS 6080-56-4.;KG; ASPECTO FÍSICO PÓ BRANCO CRISTALINO; PESO MOLECULAR 176;19; TEOR DE PUREZA MÍNIMA DE 99%; CARACTERÍSTICA ADICIONAL REAGENTE P.A.; NÚMERO DE REFERÊNCIA QUÍMICA* CAS 5743-26-0.;G;;;;;;
10;380787 - ACETATO DE ETILA;ACETATO DE ETILA, ASPECTO FÍSICO LÍQUIDO INCOLOR, LÍMPIDO, INFLAMÁVEL, PUREZA MÍNIMA PUREZA MÍNIMA DE 99,5%, COMPOSIÇÃO QUÍMICA CH3CO2C2H5, PESO MOLECULAR 88,11, CARACTERÍSTICA ADICIONAL REAGENTE P.A. ACS, NÚMERO DE REFERÊNCIA QUÍMICA CAS 141-78-6.;L; FÓRMULA QUÍMICA PB(CH3COO)2.3H2O; PESO MOLECULAR 379;33; GRAU DE PUREZA PUREZA MÍNIMA DE 99%; CARACTERÍSTICA ADICIONAL REAGENTE P.A./ACS; NÚMERO DE REFERÊNCIA QUÍMICA CAS 6080-56-4.;KG;;;;;;
11;345781 - ACETATO DE MAGNÉSIO;ACETATO DE MAGNÉSIO, COMPOSIÇÃO QUÍMICA C4H6MGO4.4H2O, ASPECTO FÍSICO CRISTAL INCOLOR OU PÓ BRANCO CRISTALINO, PESO MOLECULAR 214,45, PUREZA MÍNIMA 99%, NÚMERO DE REFERÊNCIA QUÍMICA CAS 16674-78-5 . ;FRASCO DE  250G; LÍMPIDO; INFLAMÁVEL; PUREZA MÍNIMA PUREZA MÍNIMA DE 99;5%; COMPOSIÇÃO QUÍMICA CH3CO2C2H5; PESO MOLECULAR 88;11; CARACTERÍSTICA ADICIONAL REAGENTE P.A. ACS; NÚMERO DE REFERÊNCIA QUÍMICA CAS 141-78-6.;L;;;
12;345816 - ACETATO DE POTÁSSIO;ACETATO DE POTÁSSIO, COMPOSIÇÃO KC2H3O2, PESO MOLECULAR 98,15, PUREZA MÍNIMA DE 99%, ASPECTO FÍSICO PÓ DE CRISTAIS BRANCOS, FINOS E HIGROSCÓPICOS, NÚMERO DE REFERÊNCIA QUÍMICA CAS 127-08-2, CARACTERÍSTICA ADICIONAL REAGENTE P.A.;KG; ASPECTO FÍSICO CRISTAL INCOLOR OU PÓ BRANCO CRISTALINO; PESO MOLECULAR 214;45; PUREZA MÍNIMA 99%; NÚMERO DE REFERÊNCIA QUÍMICA CAS 16674-78-5 . ;FRASCO DE  250G;;;;;;;
13;355522 - ACETATO DE SÓDIO;ACETATO DE SÓDIO, ASPECTO FÍSICO FINO COMPOSTO DE CRISTAIS BRANCOS OU INCOLORES, FÓRMULA QUÍMICA CH3COONA ANIDRO, MASSA MOLECULAR 82,03, GRAU DE PUREZA MÍNIMA DE 99%, CARACTERÍSTICA ADICIONAL REAGENTE P.A., NÚMERO DE REFERÊNCIA QUÍMICA CAS 127-09-3.;G; PESO MOLECULAR 98;15; PUREZA MÍNIMA DE 99%; ASPECTO FÍSICO PÓ DE CRISTAIS BRANCOS; FINOS E HIGROSCÓPICOS; NÚMERO DE REFERÊNCIA QUÍMICA CAS 127-08-2; CARACTERÍSTICA ADICIONAL REAGENTE P.A.;KG;;;;;
14;345875 - ACETATO DE ZINCO;ACETATO DE ZINCO, ASPECTO FÍSICO CRISTAIS OU GRÂNULOS BRANCOS, FÓRMULA QUÍMICA (CH3COO)2ZN.2H2O, MASSA MOLECULAR 219,49, GRAU DE PUREZA MÍNIMA DE 98%, CARACTERÍSTICA ADICIONAL REAGENTE P.A.,NÚMERO DE REFERÊNCIA QUÍMICA CAS 5970-45-6.;G; FÓRMULA QUÍMICA CH3COONA ANIDRO; MASSA MOLECULAR 82;3; GRAU DE PUREZA MÍNIMA DE 99%; CARACTERÍSTICA ADICIONAL REAGENTE P.A.; NÚMERO DE REFERÊNCIA QUÍMICA CAS 127-09-3.;G;;;;;;
15;381518 - ACETOFENONA;ACETOFENONA, ASPECTO FÍSICO LÍQUIDO LÍMPIDO, INCOLOR, ODOR FLORAL FORTE, FÓRMULA QUÍMICA C8H8O, PESO MOLECULAR 120,15, GRAU DE PUREZA MÍNIMA DE 99%, NÚMERO DE REFERÊNCIA QUÍMICA CAS 98-86-2.;L; FÓRMULA QUÍMICA (CH3COO)2ZN.2H2O; MASSA MOLECULAR 219;49; GRAU DE PUREZA MÍNIMA DE 98%; CARACTERÍSTICA ADICIONAL REAGENTE P.A.;NÚMERO DE REFERÊNCIA QUÍMICA CAS 5970-45-6.;G;;;;;;
16;345904 - ACETONA;ACETONA, ASPECTO FÍSICO LÍQUIDO LÍMPIDO TRANSPARENTE, FÓRMULA QUÍMICA C3H6O, MASSA MOLECULAR 58,08, GRAU DE PUREZA MÍNIMA DE 99,5%, CARACTERÍSTICA ADICIONAL REAGENTE P.A., NÚMERO DE REFERÊNCIA QUÍMICA CAS 67-64-1.;L; INCOLOR; ODOR FLORAL FORTE; FÓRMULA QUÍMICA C8H8O; PESO MOLECULAR 120;15; GRAU DE PUREZA MÍNIMA DE 99%; NÚMERO DE REFERÊNCIA QUÍMICA CAS 98-86-2.;L;;;;;
17;347149 - ACETONITRILA;ACETONITRILA, ASPECTO FÍSICO LÍQUIDO INCOLOR, LÍMPIDO, ODOR DE ÉTER, PESO MOLECULAR 41,05, FÓRMULA QUÍMICA CH3CN, GRAU DE PUREZA MÍNIMA DE 99,5%, CARACTERÍSTICA ADICIONAL REAGENTE P.A., NÚMERO DE REFERÊNCIA QUÍMICA CAS 75-05-8.;L; FÓRMULA QUÍMICA C3H6O; MASSA MOLECULAR 58;8; GRAU DE PUREZA MÍNIMA DE 99;5%; CARACTERÍSTICA ADICIONAL REAGENTE P.A.; NÚMERO DE REFERÊNCIA QUÍMICA CAS 67-64-1.;L;;;;;
18;360267 - ÁCIDO 3,5-DINITROSALICÍLICO;ÁCIDO 3,5-DINITROSALICÍLICO, ASPECTO FÍSICO PÓ BRANCO À AMARELO ESVERDEADO, INODORO, PESO MOLECULAR 228,12, FÓRMULA QUÍMICA C7H4N2O7, GRAU DE PUREZA MÍNIMA DE 98%, CARACTERÍSTICA ADICIONAL REAGENTE, NÚMERO DE REFERÊNCIA QUÍMICA CAS 609-99-4. ;G; LÍMPIDO; ODOR DE ÉTER; PESO MOLECULAR 41;5; FÓRMULA QUÍMICA CH3CN; GRAU DE PUREZA MÍNIMA DE 99;5%; CARACTERÍSTICA ADICIONAL REAGENTE P.A.; NÚMERO DE REFERÊNCIA QUÍMICA CAS 75-05-8.;L;;;
19;345906 - ÁCIDO ACÉTICO;ÁCIDO ACÉTICO ASPECTO FÍSICO LÍQUIDO LÍMPIDO TRANSPARENTE, PESO MOLECULAR 60,05, FÓRMULA QUÍMICA C2H4O2, GRAU DE PUREZA MÍNIMA DE 99,7, CARACTERÍSTICA ADICIONAL GLACIAL, REAGENTE P.A.-ACS-ISO, NÚMERO DE REFERÊNCIA QUÍMICA CAS 64-19-7.;L;5-DINITROSALICÍLICO; ASPECTO FÍSICO PÓ BRANCO À AMARELO ESVERDEADO; INODORO; PESO MOLECULAR 228;12; FÓRMULA QUÍMICA C7H4N2O7; GRAU DE PUREZA MÍNIMA DE 98%; CARACTERÍSTICA ADICIONAL REAGENTE; NÚMERO DE REFERÊNCIA QUÍMICA CAS 609-99-4. ;G;;;
20;371848 - ÁCIDO ACETILSALICÍLICO;ÁCIDO ACETILSALICILICO, CRISTAL TRANSPARENTE, INODORO, C9H8O4, 180,15 G/MOL, PUREZA MÍNIMA DE 99%, REAGENTE USP,CAS 50−78−2.;KG;5; FÓRMULA QUÍMICA C2H4O2; GRAU DE PUREZA MÍNIMA DE 99;7; CARACTERÍSTICA ADICIONAL GLACIAL; REAGENTE P.A.-ACS-ISO; NÚMERO DE REFERÊNCIA QUÍMICA CAS 64-19-7.;L;;;;;
